Train_ID,Route,Source,Destination,Date,Departure_Time,Passenger_Count,Seat_Capacity,Occupancy_Rate,Number_of_Coaches,Platform_Number,Delay_Minutes,Weekend,Holiday,Peak_Hour
TR926,R1,Hyderabad,Bangalore,2024-01-01,17:00,587,1008,58.27,14,2,51,0,0,0
TR628,R2,Mumbai,Delhi,2024-01-01,6:30,904,1224,73.9,17,3,42,0,0,0
TR275,R3,Chennai,Kolkata,2024-01-01,22:00,705,1152,61.25,16,4,20,0,0,0
TR457,R4,Delhi,Jaipur,2024-01-01,22:30,773,1152,67.16,16,4,18,0,1,0
TR781,R5,Pune,Hyderabad,2024-01-01,5:00,912,1224,74.55,17,5,10,0,0,0
TR599,R6,Ahmedabad,Mumbai,2024-01-01,18:00,1109,1224,90.67,17,2,35,0,0,1
TR365,R7,Lucknow,Delhi,2024-01-01,15:30,1115,1080,103.31,15,4,2,0,1,1
TR985,R8,Bangalore,Chennai,2024-01-01,20:30,1194,1224,97.61,17,3,1,0,0,1
TR495,R9,Patna,Kolkata,2024-01-01,18:30,952,1224,77.85,17,1,1,0,0,1
TR760,R10,Nagpur,Mumbai,2024-01-01,10:30,709,936,75.83,13,5,32,0,0,0
TR163,R1,Hyderabad,Bangalore,2024-01-02,16:30,926,1008,91.95,14,2,21,0,0,0
TR181,R2,Mumbai,Delhi,2024-01-02,13:00,952,720,132.29,10,4,24,0,0,0
TR279,R3,Chennai,Kolkata,2024-01-02,23:30,494,1224,40.41,17,1,41,0,0,0
TR585,R4,Delhi,Jaipur,2024-01-02,17:00,645,1152,56.05,16,3,15,0,0,0
TR183,R5,Pune,Hyderabad,2024-01-02,21:00,662,1080,61.35,15,1,46,0,0,0
TR244,R6,Ahmedabad,Mumbai,2024-01-02,5:30,465,1152,40.43,16,5,43,0,0,0
TR354,R7,Lucknow,Delhi,2024-01-02,23:30,868,864,100.47,12,5,56,0,0,1
TR923,R8,Bangalore,Chennai,2024-01-02,11:00,953,1008,94.55,14,4,6,0,0,0
TR273,R9,Patna,Kolkata,2024-01-02,9:00,1001,792,126.39,11,3,38,0,0,1
TR828,R10,Nagpur,Mumbai,2024-01-02,13:30,826,936,88.29,13,1,24,0,0,0
TR361,R1,Hyderabad,Bangalore,2024-01-03,14:00,483,792,61.01,11,1,49,0,0,0
TR342,R2,Mumbai,Delhi,2024-01-03,20:00,996,1008,98.81,14,1,25,0,0,0
TR566,R3,Chennai,Kolkata,2024-01-03,19:00,942,936,100.64,13,1,19,0,0,0
TR367,R4,Delhi,Jaipur,2024-01-03,9:30,758,1152,65.83,16,2,59,0,0,0
TR906,R5,Pune,Hyderabad,2024-01-03,18:00,745,864,86.33,12,1,46,0,0,0
